ticket_id,customer_age,date_of_purchase,ticket_status,first_response_time,time_to_resolution,customer_satisfaction_rating,purchase_year,purchase_month,purchase_day,customer_name_encoded,customer_email_encoded,customer_gender_encoded,product_purchased_encoded,ticket_type_encoded,ticket_subject_encoded,ticket_description_encoded,resolution_encoded,ticket_priority_encoded,ticket_channel_encoded,customer_age_normalized
34,50,2021-12-09,Closed,2023-06-01 02:01:23,2023-06-01 18:25:23,5.0,2021,12,9,7566,1639,1,5,3,6,5636,1067,0,3,0.6153846153846154
35,27,2021-04-09,Pending Customer Response,2023-06-01 20:50:24,,3.0,2021,4,9,7107,2296,1,27,3,7,1146,2573,2,0,0.1730769230769231
36,24,2020-10-13,Closed,2023-06-01 07:56:25,2023-06-01 00:14:25,1.0,2020,10,13,3593,3454,2,16,1,12,7224,1875,1,0,0.1153846153846154
37,65,2020-03-14,Pending Customer Response,2023-06-01 15:51:28,,3.0,2020,3,14,6586,3944,0,9,3,6,4312,2573,3,1,0.903846153846154
38,39,2020-09-02,Open,,,3.0,2020,9,2,5706,2092,0,2,2,11,6837,2573,3,0,0.4038461538461538
39,19,2021-09-10,Closed,2023-06-01 18:45:30,2023-05-31 21:53:30,3.0,2021,9,10,4417,7658,1,18,4,0,1065,1529,0,2,0.0192307692307692
40,33,2021-10-22,Pending Customer Response,2023-05-31 22:19:32,,3.0,2021,10,22,5503,7035,2,1,2,0,4291,2573,3,3,0.2884615384615385
41,19,2021-02-07,Pending Customer Response,2023-06-01 09:11:33,,3.0,2021,2,7,1237,6772,0,33,2,7,7155,2573,2,2,0.0192307692307692
42,35,2021-06-09,Closed,2023-06-01 20:25:34,2023-06-01 14:43:34,3.0,2021,6,9,4244,6780,1,10,0,11,199,2266,0,0,0.326923076923077
43,22,2020-10-10,Pending Customer Response,2023-06-01 18:41:35,,3.0,2020,10,10,4059,7993,1,35,2,11,2933,2573,3,2,0.0769230769230769
44,54,2020-01-16,Open,,,3.0,2020,1,16,5412,23,0,41,4,6,5302,2573,2,1,0.6923076923076924
45,34,2021-09-25,Closed,2023-06-01 05:58:39,2023-06-01 03:19:39,2.0,2021,9,25,2180,4337,2,19,3,11,1689,1630,0,1,0.3076923076923077
46,65,2021-02-01,Open,,,3.0,2021,2,1,7578,1660,0,21,2,2,5388,2573,2,0,0.903846153846154
47,50,2020-10-15,Closed,2023-06-01 03:43:43,2023-06-01 09:24:43,1.0,2020,10,15,1240,21,0,31,3,8,5630,167,1,2,0.6153846153846154
48,27,2020-07-29,Closed,2023-06-01 07:16:45,2023-06-01 05:59:45,1.0,2020,7,29,4556,646,0,16,4,15,700,1202,3,3,0.1730769230769231
49,32,2021-02-15,Open,,,3.0,2021,2,15,5954,3864,2,20,1,8,2399,2573,1,0,0.2692307692307693
50,44,2020-09-27,Open,,,3.0,2020,9,27,4238,7259,1,25,4,5,4757,2573,3,0,0.5000000000000001
51,66,2020-12-22,Open,,,3.0,2020,12,22,4254,6101,1,39,3,15,61,2573,3,0,0.9230769230769232
52,64,2020-11-20,Closed,2023-06-01 16:21:49,2023-06-01 10:31:49,3.0,2020,11,20,7675,8026,1,21,3,15,7240,1403,3,0,0.8846153846153847
53,54,2021-10-10,Closed,2023-06-01 01:54:49,2023-06-01 20:59:49,3.0,2021,10,10,1377,2849,1,28,3,8,5076,1440,1,3,0.6923076923076924
54,37,2021-08-16,Closed,2023-06-01 00:39:50,2023-06-01 10:25:50,4.0,2021,8,16,1234,6550,1,19,1,4,1896,712,2,0,0.3653846153846154
55,68,2021-10-14,Pending Customer Response,2023-06-01 07:25:51,,3.0,2021,10,14,1216,5389,0,27,4,8,7022,2573,2,0,0.9615384615384616
56,50,2021-11-19,Pending Customer Response,2023-06-01 11:14:53,,3.0,2021,11,19,6795,7920,0,31,1,15,5512,2573,0,0,0.6153846153846154
57,69,2021-12-22,Pending Customer Response,2023-06-01 10:33:53,,3.0,2021,12,22,160,4899,1,5,4,15,4572,2573,3,3,0.980769230769231
58,47,2020-07-28,Open,,,3.0,2020,7,28,4911,5990,2,15,3,10,2689,2573,0,1,0.5576923076923077
59,27,2020-07-31,Closed,2023-06-01 11:56:57,2023-06-01 04:45:57,5.0,2020,7,31,4504,4630,1,5,4,12,6799,632,3,2,0.1730769230769231
60,40,2021-09-05,Closed,2023-06-01 19:50:58,2023-06-01 00:38:58,3.0,2021,9,5,6720,311,2,3,2,2,4138,1972,3,0,0.4230769230769231
61,40,2020-11-16,Closed,2023-06-01 00:18:00,2023-06-01 11:55:00,1.0,2020,11,16,210,2716,1,37,1,13,4865,676,3,0,0.4230769230769231
62,41,2021-11-21,Pending Customer Response,2023-06-01 01:32:02,,3.0,2021,11,21,6853,103,2,23,2,1,1690,2573,0,3,0.4423076923076924
63,64,2020-12-12,Closed,2023-05-31 23:37:04,2023-06-01 12:41:04,4.0,2020,12,12,2612,2330,0,40,0,9,3587,769,1,1,0.8846153846153847
64,57,2020-04-24,Pending Customer Response,2023-06-01 07:07:05,,3.0,2020,4,24,7821,7320,0,0,0,6,1213,2573,1,2,0.7500000000000001
65,61,2021-08-02,Open,,,3.0,2021,8,2,1980,3111,1,27,4,11,271,2573,3,2,0.826923076923077
66,56,2021-11-11,Pending Customer Response,2023-05-31 22:38:07,,3.0,2021,11,11,3247,5860,1,3,4,1,7756,2573,3,2,0.730769230769231
67,49,2021-08-08,Closed,2023-06-01 05:06:08,2023-06-01 10:17:08,5.0,2021,8,8,3707,2533,0,16,0,11,6892,820,1,1,0.5961538461538463
68,54,2021-06-27,Pending Customer Response,2023-06-01 21:04:10,,3.0,2021,6,27,6627,5998,1,25,1,10,6519,2573,2,2,0.6923076923076924
69,51,2021-02-06,Pending Customer Response,2023-05-31 23:00:12,,3.0,2021,2,6,1044,3298,2,0,4,11,4761,2573,0,0,0.6346153846153847
70,46,2020-02-13,Closed,2023-06-01 11:57:12,2023-05-31 22:51:12,1.0,2020,2,13,5434,7875,0,8,3,14,6328,114,1,0,0.5384615384615385
71,27,2021-05-15,Pending Customer Response,2023-05-31 23:49:14,,3.0,2021,5,15,2344,2432,1,18,1,13,6518,2573,3,0,0.1730769230769231
72,37,2020-09-26,Open,,,3.0,2020,9,26,3838,989,2,41,3,4,7222,2573,3,3,0.3653846153846154
73,34,2021-02-16,Closed,2023-06-01 04:35:16,2023-06-01 03:17:16,4.0,2021,2,16,7365,2150,0,11,0,5,5669,749,2,0,0.3076923076923077
74,36,2020-11-09,Closed,2023-06-01 21:31:17,2023-06-01 02:24:17,3.0,2020,11,9,6130,2276,2,12,1,9,7392,828,0,3,0.3461538461538461
75,31,2021-04-16,Open,,,3.0,2021,4,16,7765,1921,0,40,0,13,5061,2573,0,1,0.25
76,37,2021-01-06,Closed,2023-06-01 14:43:20,2023-06-01 02:30:20,1.0,2021,1,6,3301,1421,2,34,2,5,3996,2181,0,0,0.3653846153846154
77,18,2020-06-30,Open,,,3.0,2020,6,30,5243,887,2,41,1,0,4559,2573,0,2,0.0
78,63,2020-12-29,Closed,2023-06-01 19:16:24,2023-06-01 15:21:24,5.0,2020,12,29,145,5493,0,12,0,4,2410,1071,2,1,0.8653846153846155
79,55,2021-01-07,Pending Customer Response,2023-06-01 16:57:26,,3.0,2021,1,7,3663,7648,2,18,0,3,5118,2573,3,3,0.7115384615384616
80,40,2020-11-03,Pending Customer Response,2023-06-01 11:27:28,,3.0,2020,11,3,1260,2884,2,21,4,15,3027,2573,0,0,0.4230769230769231
81,50,2021-03-22,Pending Customer Response,2023-06-01 07:27:28,,3.0,2021,3,22,6820,1772,2,25,4,12,4531,2573,0,2,0.6153846153846154
82,29,2021-07-22,Pending Customer Response,2023-06-01 11:37:29,,3.0,2021,7,22,4460,2586,2,3,1,2,121,2573,3,1,0.2115384615384615
83,24,2021-10-04,Closed,2023-06-01 05:40:30,2023-06-01 20:35:30,1.0,2021,10,4,3929,4186,1,33,3,15,1284,721,2,3,0.1153846153846154
84,57,2021-08-11,Pending Customer Response,2023-06-01 00:24:32,,3.0,2021,8,11,3018,1975,2,5,4,7,5746,2573,0,2,0.7500000000000001
85,67,2021-08-02,Open,,,3.0,2021,8,2,1981,3999,2,26,4,6,413,2573,3,2,0.9423076923076924
86,67,2021-01-22,Open,,,3.0,2021,1,22,6352,1493,0,9,2,10,6734,2573,1,3,0.9423076923076924
87,46,2020-01-18,Closed,2023-06-01 18:03:35,2023-06-01 06:23:35,2.0,2020,1,18,1828,4168,1,38,4,12,3854,1943,0,2,0.5384615384615385
88,55,2020-09-10,Pending Customer Response,2023-06-01 19:21:36,,3.0,2020,9,10,7247,7623,2,32,4,4,197,2573,1,3,0.7115384615384616
89,42,2021-08-01,Open,,,3.0,2021,8,1,6294,1200,2,29,0,13,2472,2573,0,1,0.4615384615384615
90,40,2020-01-30,Closed,2023-05-31 23:17:40,2023-06-01 03:09:40,5.0,2020,1,30,4831,2871,1,39,2,12,2048,745,3,1,0.4230769230769231
91,57,2020-10-15,Pending Customer Response,2023-06-01 07:15:41,,3.0,2020,10,15,6726,3177,2,39,3,15,6827,2573,1,2,0.7500000000000001
92,62,2021-11-14,Pending Customer Response,2023-06-01 00:14:43,,3.0,2021,11,14,4963,7487,1,41,2,5,528,2573,2,1,0.8461538461538461
93,44,2021-05-27,Pending Customer Response,2023-06-01 15:57:45,,3.0,2021,5,27,7313,5804,1,6,4,10,1463,2573,2,1,0.5000000000000001
94,32,2021-05-24,Open,,,3.0,2021,5,24,3418,5041,0,33,3,7,4780,2573,2,1,0.2692307692307693
95,65,2021-12-06,Open,,,3.0,2021,12,6,6878,1682,2,27,2,0,4057,2573,0,2,0.903846153846154
96,60,2021-10-02,Closed,2023-06-01 00:08:49,2023-06-01 18:39:49,5.0,2021,10,2,4769,1733,1,5,2,1,7273,2068,1,0,0.8076923076923078
97,18,2020-10-25,Open,,,3.0,2020,10,25,1329,7601,0,34,1,1,268,2573,1,3,0.0
98,22,2020-01-18,Pending Customer Response,2023-06-01 01:55:51,,3.0,2020,1,18,1736,1808,2,40,2,4,7148,2573,1,1,0.0769230769230769
99,38,2020-09-09,Closed,2023-06-01 07:05:53,2023-06-01 14:45:53,5.0,2020,9,9,5911,6814,1,35,0,14,4101,917,1,0,0.3846153846153847
100,23,2020-05-15,Pending Customer Response,2023-06-01 15:32:53,,3.0,2020,5,15,2487,4725,2,36,4,6,2679,2573,2,0,0.0961538461538462
101,39,2020-05-31,Pending Customer Response,2023-06-01 21:36:55,,3.0,2020,5,31,5024,5763,0,11,1,4,4538,2573,1,1,0.4038461538461538
102,18,2021-08-01,Pending Customer Response,2023-06-01 21:00:57,,3.0,2021,8,1,1839,278,2,41,0,15,1359,2573,0,2,0.0
103,40,2021-01-26,Closed,2023-06-01 03:07:58,2023-06-01 15:23:58,3.0,2021,1,26,289,3154,0,4,3,1,6481,1330,0,1,0.4230769230769231
104,49,2020-02-24,Open,,,3.0,2020,2,24,3010,3275,1,11,3,1,3291,2573,1,0,0.5961538461538463
105,58,2021-06-27,Open,,,3.0,2021,6,27,3557,4660,1,12,3,12,116,2573,1,2,0.7692307692307693
106,56,2021-07-17,Pending Customer Response,2023-06-01 02:08:01,,3.0,2021,7,17,7841,4515,2,11,2,1,4347,2573,0,0,0.730769230769231
107,42,2021-05-20,Closed,2023-06-01 11:38:01,2023-06-01 20:46:01,2.0,2021,5,20,5649,1600,0,30,1,7,4554,2354,2,1,0.4615384615384615
108,50,2021-06-09,Pending Customer Response,2023-06-01 15:49:01,,3.0,2021,6,9,4653,1953,2,21,4,0,4552,2573,1,1,0.6153846153846154
109,33,2020-01-08,Closed,2023-06-01 02:55:03,2023-06-01 08:15:03,4.0,2020,1,8,4068,5323,1,11,4,13,3675,799,0,0,0.2884615384615385
110,59,2020-03-10,Open,,,3.0,2020,3,10,5055,4197,0,7,2,0,7738,2573,1,1,0.7884615384615384
111,60,2021-07-28,Closed,2023-06-01 03:14:05,2023-06-01 12:43:05,2.0,2021,7,28,949,949,0,1,1,10,6489,1165,1,1,0.8076923076923078
112,68,2021-11-29,Open,,,3.0,2021,11,29,715,4821,1,31,3,5,2598,2573,1,2,0.9615384615384616
113,68,2020-03-24,Open,,,3.0,2020,3,24,4813,1208,0,35,2,5,2303,2573,3,3,0.9615384615384616
114,27,2021-11-12,Closed,2023-06-01 03:24:09,2023-05-31 22:24:09,1.0,2021,11,12,7161,1155,2,25,1,9,4530,2279,1,1,0.1730769230769231
115,28,2020-09-20,Closed,2023-06-01 10:27:10,2023-06-01 06:04:10,1.0,2020,9,20,7915,1853,0,37,1,1,7548,1261,1,1,0.1923076923076924
116,29,2021-01-16,Open,,,3.0,2021,1,16,565,8056,1,41,4,4,1404,2573,0,1,0.2115384615384615
117,20,2021-11-27,Closed,2023-06-01 19:02:13,2023-06-01 18:17:13,5.0,2021,11,27,6665,2015,0,41,1,15,2342,369,1,1,0.0384615384615384
118,18,2020-02-16,Closed,2023-06-01 00:40:14,2023-06-01 04:42:14,5.0,2020,2,16,2707,4793,1,17,0,13,7327,957,3,2,0.0
119,39,2020-08-17,Open,,,3.0,2020,8,17,6111,248,0,19,3,3,3984,2573,1,1,0.4038461538461538
120,41,2021-07-31,Closed,2023-06-01 04:22:17,2023-06-01 14:49:17,2.0,2021,7,31,6846,3959,0,12,0,15,2401,34,2,2,0.4423076923076924
121,56,2021-03-11,Pending Customer Response,2023-06-01 18:02:19,,3.0,2021,3,11,558,8217,1,2,0,14,4662,2573,3,0,0.730769230769231
122,37,2021-03-03,Open,,,3.0,2021,3,3,102,4143,2,7,2,10,972,2573,0,0,0.3653846153846154
123,29,2020-10-03,Open,,,3.0,2020,10,3,2873,1866,2,10,3,7,6970,2573,2,3,0.2115384615384615
124,36,2021-12-27,Pending Customer Response,2023-06-01 13:08:24,,3.0,2021,12,27,5676,7012,2,35,2,1,932,2573,2,1,0.3461538461538461
125,63,2021-03-23,Pending Customer Response,2023-06-01 02:14:26,,3.0,2021,3,23,3995,2544,1,11,4,13,3967,2573,1,2,0.8653846153846155
126,45,2020-06-27,Open,,,3.0,2020,6,27,708,1572,1,32,3,5,2101,2573,3,0,0.5192307692307693
127,68,2020-06-22,Open,,,3.0,2020,6,22,5318,7762,0,23,0,2,3470,2573,2,3,0.9615384615384616
128,57,2020-09-28,Pending Customer Response,2023-06-01 03:09:31,,3.0,2020,9,28,5080,22,1,40,3,2,1071,2573,2,1,0.7500000000000001
129,49,2021-04-15,Closed,2023-05-31 22:12:33,2023-06-01 00:29:33,3.0,2021,4,15,6743,3294,1,0,1,6,1215,2466,3,1,0.5961538461538463
130,55,2021-05-05,Pending Customer Response,2023-06-01 07:38:35,,3.0,2021,5,5,6727,328,2,1,1,2,5550,2573,2,1,0.7115384615384616
131,43,2020-02-13,Closed,2023-06-01 21:31:36,2023-06-01 15:03:36,2.0,2020,2,13,3896,3296,1,4,0,12,2343,1155,3,1,0.4807692307692308
132,49,2021-11-24,Pending Customer Response,2023-06-01 20:57:38,,3.0,2021,11,24,3553,6977,1,21,2,1,4463,2573,0,3,0.5961538461538463
133,65,2021-05-01,Open,,,3.0,2021,5,1,8,7119,0,33,1,3,7984,2573,3,2,0.903846153846154
134,50,2021-06-17,Closed,2023-06-01 17:14:41,2023-05-31 22:53:41,5.0,2021,6,17,3565,5472,1,30,3,14,4798,93,0,2,0.6153846153846154
135,66,2020-05-01,Closed,2023-06-01 07:40:42,2023-06-01 01:07:42,2.0,2020,5,1,5820,7396,1,33,1,13,5228,1797,0,1,0.9230769230769232
136,35,2021-10-30,Pending Customer Response,2023-06-01 02:05:43,,3.0,2021,10,30,3493,5326,0,35,2,15,6639,2573,2,0,0.326923076923077
137,46,2020-10-01,Open,,,3.0,2020,10,1,422,97,2,7,1,15,2467,2573,0,1,0.5384615384615385
138,21,2021-12-20,Closed,2023-06-01 09:56:46,2023-06-01 09:08:46,4.0,2021,12,20,2897,3881,2,1,4,8,1282,2313,2,0,0.0576923076923077
139,58,2021-02-12,Closed,2023-05-31 23:52:47,2023-06-01 06:58:47,2.0,2021,2,12,2376,335,1,0,2,11,1719,1011,0,0,0.7692307692307693
140,31,2021-03-12,Pending Customer Response,2023-06-01 19:46:49,,3.0,2021,3,12,238,670,2,20,1,1,5756,2573,2,2,0.25
141,47,2021-05-09,Closed,2023-06-01 09:35:50,2023-06-01 05:30:50,1.0,2021,5,9,5421,3208,1,22,1,13,7948,1282,0,1,0.5576923076923077
142,31,2020-04-13,Closed,2023-06-01 21:18:52,2023-06-01 05:10:52,2.0,2020,4,13,4823,7440,2,38,4,15,2782,2597,1,0,0.25
143,38,2021-04-26,Pending Customer Response,2023-06-01 14:31:54,,3.0,2021,4,26,2422,6899,0,34,0,11,577,2573,1,0,0.3846153846153847
144,38,2021-05-05,Open,,,3.0,2021,5,5,1884,1487,0,8,1,0,2341,2573,0,1,0.3846153846153847
145,25,2021-04-02,Open,,,3.0,2021,4,2,2743,5067,0,9,3,3,5522,2573,2,3,0.1346153846153846
146,46,2020-10-12,Pending Customer Response,2023-06-01 15:24:59,,3.0,2020,10,12,2751,4704,1,32,1,14,1903,2573,3,1,0.5384615384615385
147,39,2021-07-11,Open,,,3.0,2021,7,11,4169,3267,1,23,1,1,2156,2573,2,1,0.4038461538461538
148,22,2020-10-06,Closed,2023-06-01 13:45:03,2023-05-31 23:28:03,3.0,2020,10,6,7736,5967,0,3,0,11,4147,1636,2,3,0.0769230769230769
149,40,2021-10-24,Closed,2023-06-01 08:45:05,2023-06-01 13:55:05,1.0,2021,10,24,6251,6050,2,22,3,7,2722,802,1,0,0.4230769230769231
150,64,2021-03-18,Closed,2023-06-01 16:34:07,2023-06-01 20:02:07,3.0,2021,3,18,4356,7305,0,32,4,10,4205,992,0,1,0.8846153846153847
151,29,2020-10-14,Closed,2023-06-01 15:33:09,2023-06-01 06:51:09,4.0,2020,10,14,6681,579,0,18,3,12,3196,87,0,1,0.2115384615384615
152,45,2021-12-24,Pending Customer Response,2023-06-01 12:33:10,,3.0,2021,12,24,5678,2454,2,40,3,5,2624,2573,3,2,0.5192307692307693
153,46,2021-10-19,Pending Customer Response,2023-06-01 15:58:11,,3.0,2021,10,19,5949,926,2,16,2,0,4910,2573,2,3,0.5384615384615385
154,58,2020-03-12,Pending Customer Response,2023-06-01 02:50:13,,3.0,2020,3,12,320,5366,1,15,4,2,3712,2573,3,3,0.7692307692307693
155,55,2021-06-09,Open,,,3.0,2021,6,9,4697,1964,0,34,4,12,1251,2573,3,3,0.7115384615384616
156,52,2020-01-29,Open,,,3.0,2020,1,29,3719,4923,1,19,1,4,3051,2573,2,0,0.6538461538461539
157,20,2020-12-11,Open,,,3.0,2020,12,11,7499,6439,1,4,2,4,4025,2573,2,3,0.0384615384615384
158,69,2020-01-29,Open,,,3.0,2020,1,29,5827,6777,1,30,4,14,765,2573,3,2,0.980769230769231
159,35,2021-11-30,Pending Customer Response,2023-06-01 02:19:21,,3.0,2021,11,30,1487,7931,1,11,2,6,5408,2573,2,3,0.326923076923077
160,55,2021-02-03,Pending Customer Response,2023-06-01 19:33:22,,3.0,2021,2,3,7354,6363,2,39,0,2,7941,2573,1,1,0.7115384615384616
161,19,2020-07-19,Pending Customer Response,2023-06-01 10:20:23,,3.0,2020,7,19,3284,5081,0,23,3,0,412,2573,1,1,0.0192307692307692
162,29,2020-01-06,Closed,2023-06-01 03:19:25,2023-06-01 15:58:25,3.0,2020,1,6,7943,2147,0,19,3,13,2212,1084,1,2,0.2115384615384615
163,30,2021-10-23,Closed,2023-06-01 21:38:27,2023-06-01 10:37:27,1.0,2021,10,23,6799,348,1,7,3,9,4086,1913,0,2,0.2307692307692308
164,34,2020-11-11,Closed,2023-06-01 19:15:27,2023-06-01 09:02:27,3.0,2020,11,11,956,3110,1,25,1,12,291,292,3,2,0.3076923076923077
165,24,2021-05-21,Closed,2023-06-01 19:39:29,2023-06-01 21:26:29,5.0,2021,5,21,6253,527,1,19,0,13,1752,1942,2,3,0.1153846153846154
166,33,2020-07-25,Pending Customer Response,2023-06-01 07:21:30,,3.0,2020,7,25,3628,5020,1,6,2,8,6806,2573,2,1,0.2884615384615385
167,32,2020-04-03,Closed,2023-06-01 04:35:32,2023-06-01 07:29:32,3.0,2020,4,3,7223,6465,0,40,3,1,4196,2239,3,1,0.2692307692307693
168,41,2020-01-31,Closed,2023-06-01 12:41:33,2023-06-01 06:19:33,3.0,2020,1,31,5430,2075,1,14,4,4,6712,610,3,0,0.4423076923076924
169,51,2021-09-03,Open,,,3.0,2021,9,3,2514,1592,2,23,0,4,7036,2573,1,3,0.6346153846153847
170,30,2020-08-04,Closed,2023-06-01 14:14:36,2023-06-01 11:08:36,1.0,2020,8,4,6773,7386,1,39,2,8,3274,2760,3,2,0.2307692307692308
171,44,2021-12-24,Closed,2023-06-01 15:42:38,2023-06-01 18:36:38,4.0,2021,12,24,437,761,0,25,0,13,3036,233,2,3,0.5000000000000001
172,33,2020-12-11,Open,,,3.0,2020,12,11,523,1353,0,38,3,14,1668,2573,2,0,0.2884615384615385
173,36,2020-01-27,Pending Customer Response,2023-06-01 10:53:42,,3.0,2020,1,27,7518,5817,2,28,1,11,2132,2573,3,3,0.3461538461538461
174,50,2021-10-01,Pending Customer Response,2023-05-31 23:10:43,,3.0,2021,10,1,6929,2345,2,23,3,12,1320,2573,3,1,0.6153846153846154
175,37,2021-10-05,Pending Customer Response,2023-06-01 19:22:43,,3.0,2021,10,5,5640,410,1,21,4,3,7477,2573,0,0,0.3653846153846154
176,42,2021-10-18,Closed,2023-06-01 13:14:45,2023-06-01 07:23:45,4.0,2021,10,18,5120,6621,2,33,4,4,3397,878,3,1,0.4615384615384615
177,49,2021-11-16,Pending Customer Response,2023-06-01 02:45:47,,3.0,2021,11,16,7078,8219,0,37,4,14,3942,2573,3,1,0.5961538461538463
178,27,2020-09-21,Pending Customer Response,2023-06-01 11:03:49,,3.0,2020,9,21,5617,4849,2,11,1,12,1891,2573,1,2,0.1730769230769231
179,25,2020-04-19,Open,,,3.0,2020,4,19,2444,5068,2,0,0,10,3760,2573,3,0,0.1346153846153846
180,58,2021-06-03,Pending Customer Response,2023-06-01 18:36:52,,3.0,2021,6,3,2629,5617,0,18,0,3,7243,2573,0,2,0.7692307692307693
181,60,2021-11-17,Pending Customer Response,2023-06-01 03:33:53,,3.0,2021,11,17,3212,3649,2,24,3,11,222,2573,3,1,0.8076923076923078
182,34,2020-11-26,Pending Customer Response,2023-06-01 20:47:54,,3.0,2020,11,26,2284,1992,2,2,1,0,1787,2573,0,3,0.3076923076923077
